1	work	2013-06-13
2	work	2013-06-14
3	rest	2013-06-15
4	rest	2013-06-16
5	work	2013-06-17
6	rest	2013-06-18
7	work	2013-06-19
8	work	2013-06-20
9	work	2013-06-21
10	rest	2013-06-22
11	rest	2013-06-23
12	rest	2013-06-24
13	rest	2013-06-25
14	rest	2013-06-26
15	rest	2013-06-27
16	rest	2013-06-28
17	rest	2013-06-29
18	rest	2013-06-30
19	work	2013-07-01
20	work	2013-07-02
21	rest	2013-07-03
22	work	2013-07-04
23	work	2013-07-05
24	rest	2013-07-06
25	rest	2013-07-07
26	work	2013-07-08
27	work	2013-07-09
28	work	2013-07-10
29	work	2013-07-11
30	work	2013-07-12
31	rest	2013-07-13
32	rest	2013-07-14
33	work	2013-07-15
34	work	2013-07-16
35	work	2013-07-17
36	work	2013-07-18
37	work	2013-07-19
38	work	2013-07-20
39	rest	2013-07-21
40	work	2013-07-22
41	work	2013-07-23
42	work	2013-07-24
43	work	2013-07-25
44	work	2013-07-26
45	work	2013-07-27
46	work	2013-07-28
47	work	2013-07-29
48	work	2013-07-30
49	work	2013-07-31
50	work	2013-08-01
51	work	2013-08-02
52	work	2013-08-03
